period,n_events,n_tickers,mean_surprise_pct,median_surprise_pct,beat_rate_pct,mean_car3d_all,mean_car3d_beats,mean_car3d_misses,surprise_return_corr,beats_car_3d,misses_car_3d,beats_car_5d,misses_car_5d,beats_car_10d,misses_car_10d,beats_car_20d,misses_car_20d,beats_car_40d,misses_car_40d,beats_car_60d,misses_car_60d
post_2020,12687,499,11.34,5.556,77.2,0.2253,0.9018,-2.1994,0.1498,0.9018,-2.1994,0.9535,-2.0963,1.0212,-2.0119,1.2431,-2.1381,0.974,-2.6361,1.2904,-2.5826
pre_2020,9191,476,7.758,3.883,71.5,0.3984,1.1685,-2.0526,0.1873,1.1685,-2.0526,1.2076,-2.1479,1.3185,-2.137,1.6172,-2.007,1.8329,-1.8973,1.776,-2.1199
