ticker,earnings_date,period,eps_estimate,eps_actual,surprise_pct,stock_return_3d,spy_return_3d,abnormal_return_3d,post2020
MMM,2015-01-27,pre_2020,1.8,1.81,0.00555555555555556,-0.001826736566668763,-0.025845674397317997,0.024018937830649234,0
MMM,2015-04-23,pre_2020,1.93,1.85,-0.041450777202072464,-0.03449305915215928,0.004842462584443652,-0.03933552173660293,0
MMM,2015-07-23,pre_2020,1.99,2.02,0.015075376884422124,-0.03912230388961846,-0.01594387213939108,-0.02317843175022738,0
MMM,2015-10-22,pre_2020,2.01,2.05,0.01990049751243783,0.03984763806724145,0.028040385096398168,0.011807252970843285,0
MMM,2016-01-26,pre_2020,1.62,1.66,0.024691358024691242,0.05800688162148848,0.00261149720470244,0.05539538441678604,0
MMM,2016-04-26,pre_2020,1.92,2.05,0.06770833333333329,-0.003681436076607647,0.0035471718177695344,-0.007228607894377181,0
MMM,2016-07-26,pre_2020,2.07,2.08,0.004830917874396247,-0.007571160552049538,-0.0005998663344016775,-0.006971294217647861,0
MMM,2016-10-25,pre_2020,2.14,2.15,0.004672897196261582,-0.027791898596997933,-0.005351460780173123,-0.02244043781682481,0
MMM,2017-01-24,pre_2020,1.87,1.88,0.005347593582887587,-0.0099713964568513,0.015122632519888768,-0.025094028976740068,0
MMM,2017-04-25,pre_2020,2.06,2.16,0.04854368932038839,0.003964679091093881,0.0051863290740004064,-0.0012216499829065253,0
MMM,2017-07-25,pre_2020,2.59,2.58,-0.003861003861003779,-0.052238050956560755,0.002471434639889747,-0.0547094855964505,0
MMM,2017-10-24,pre_2020,2.21,2.33,0.0542986425339367,0.07280496177797846,-0.0032018704271113974,0.07600683220508986,0
MMM,2018-01-25,pre_2020,2.03,2.1,0.0344827586206898,0.04416824266475472,0.012006455949731265,0.032161786715023455,0
MMM,2018-04-24,pre_2020,2.48,2.5,0.008064516129032265,-0.07893322616660314,-0.011029037393092467,-0.06790418877351068,0
MMM,2018-07-24,pre_2020,2.6,2.59,-0.003846153846153935,0.027862277626758747,0.013597431230016,0.014264846396742747,0
MMM,2018-10-23,pre_2020,2.7,2.58,-0.04444444444444448,-0.08353224366459167,-0.03523525909021863,-0.048296984574373036,0
MMM,2019-01-29,pre_2020,2.28,2.31,0.013157894736842216,0.031418043482764446,0.014482680349636068,0.01693536313312838,0
MMM,2019-04-25,pre_2020,2.5,2.23,-0.10800000000000001,-0.1251137491203994,0.004037752480112733,-0.12915150160051214,0
MMM,2019-07-25,pre_2020,2.07,2.13,0.02898550724637684,-0.03032001135741591,0.0018909272271094846,-0.032210938584525395,0
MMM,2019-10-24,pre_2020,2.5,2.58,0.03200000000000003,-0.01582138573506975,0.005736104416913745,-0.021557490151983494,0
MMM,2020-01-28,post_2020,2.1,1.95,-0.0714285714285715,-0.07760621779216081,0.009644487966589343,-0.08725070575875016,1
MMM,2020-04-28,post_2020,2.01,2.16,0.07462686567164198,0.016986649080744654,0.02146004013118885,-0.004473391050444198,1
MMM,2020-07-28,post_2020,1.8,1.78,-0.01111111111111112,-0.04282017782446146,0.005878311016222382,-0.04869848884068384,1
MMM,2020-10-27,post_2020,2.27,2.43,0.07048458149779742,-0.04591967890659332,-0.037508491282121637,-0.008411187624471683,1
MMM,2021-01-26,post_2020,2.17,2.38,0.09677419354838708,0.09542815101687974,-0.025963291582119408,0.12139144259899914,1
MMM,2021-04-27,post_2020,2.29,2.77,0.2096069868995633,-0.018534431661871187,-0.0005029804651863756,-0.01803145119668481,1
MMM,2021-07-27,post_2020,2.28,2.59,0.1359649122807018,-0.016809551204862605,-0.004965695462418984,-0.01184385574244362,1
MMM,2021-10-26,post_2020,2.21,2.45,0.1085972850678734,-0.022806796839534904,-0.0035342041024660764,-0.019272592737068828,1
MMM,2022-01-25,post_2020,2.02,2.31,0.14356435643564358,-0.020254390668365763,-0.014687234812586936,-0.005567155855778827,1
MMM,2022-04-26,post_2020,2.32,2.65,0.14224137931034486,-0.029542265338265206,-0.026230451511705444,-0.003311813826559762,1
MMM,2022-07-26,post_2020,2.44,2.48,0.016393442622950834,0.03534145933505006,0.01382823178872905,0.021513227546321012,1
MMM,2022-10-25,post_2020,2.59,2.69,0.038610038610038644,0.03649248312661224,0.00831433390081271,0.02817814922579953,1
MMM,2023-01-24,post_2020,2.37,2.28,-0.037974683544303924,-0.07902459830810249,-0.0006988971398353971,-0.07832570116826709,1
MMM,2023-04-25,post_2020,1.6,1.97,0.23124999999999993,-0.0203692818852369,-0.020042054372023443,-0.0003272275132134572,1
MMM,2023-07-25,post_2020,1.76,2.17,0.23295454545454541,0.08027265313067788,0.002884267074929392,0.07738838605574849,1
MMM,2023-10-24,post_2020,2.35,2.68,0.14042553191489365,0.04427589495847073,-0.006920931651633322,0.05119682661010405,1
MMM,2024-01-23,post_2020,2.31,2.42,0.04761904761904756,-0.1368264603698669,0.004012865046741698,-0.1408393254166086,1
MMM,2024-04-30,post_2020,2.11,2.39,0.132701421800948,0.0681424435738307,-0.019036815783689764,0.08717925935752047,1
MMM,2024-07-26,post_2020,1.68,1.93,0.1488095238095238,0.2105620875113703,0.011794054477337834,0.19876803303403245,1
MMM,2024-10-22,post_2020,1.9,1.98,0.04210526315789478,-0.05139408748116059,-0.009663585141526765,-0.041730502339633824,1
MMM,2025-01-21,post_2020,1.54,1.68,0.09090909090909084,0.057363916053902564,0.014826475417091034,0.04253744063681153,1
MMM,2025-04-22,post_2020,1.77,1.88,0.06214689265536716,0.07907057123788075,0.04191627729055414,0.03715429394732661,1
MMM,2025-07-18,post_2020,2.01,2.16,0.07462686567164198,-0.03910958518513885,0.0011624202788982352,-0.040272005464037086,1
MMM,2025-10-21,post_2020,2.07,2.19,0.05797101449275368,0.08043667913608243,-0.005213781257889738,0.08565046039397217,1
MMM,2026-01-20,post_2020,1.8,1.83,0.01666666666666668,-0.07103693535383448,-0.00905063078339352,-0.061986304570440964,1
MMM,2026-04-21,post_2020,1.98,2.14,0.08080808080808088,-0.03712018286920227,0.0035135207475847086,-0.040633703616786976,1
AOS,2015-01-27,pre_2020,0.3,0.32,0.06666666666666674,0.06265699368068645,-0.025845674397317997,0.08850266807800444,0
AOS,2015-04-24,pre_2020,0.31,0.33,0.06451612903225812,0.006397660447019948,-0.0018469113747305865,0.008244571821750535,0
AOS,2015-07-23,pre_2020,0.33,0.4,0.21212121212121213,0.05546613842599224,-0.01594387213939108,0.07141001056538332,0
AOS,2015-10-21,pre_2020,0.39,0.41,0.05128205128205118,0.027828657573833793,0.01058538375131124,0.017243273822522553,0
AOS,2016-01-29,pre_2020,0.42,0.45,0.0714285714285715,0.027557003292258964,0.02400670261647253,0.003550300675786433,0
AOS,2016-04-27,pre_2020,0.38,0.42,0.1052631578947368,-0.030831142313558324,-0.0070364127464565,-0.023794729567101824,0
AOS,2016-07-26,pre_2020,0.45,0.49,0.08888888888888884,0.05825294416382154,-0.0005998663344016775,0.05885281049822322,0
AOS,2016-10-26,pre_2020,0.45,0.47,0.04444444444444436,-0.03682061091778255,-0.004669402336640149,-0.0321512085811424,0
AOS,2017-02-02,pre_2020,0.46,0.47,0.021739130434782507,0.018782151484087573,0.007556622709490757,0.011225528774596816,0
AOS,2017-04-27,pre_2020,0.47,0.5,0.06382978723404262,0.017179426850024493,-0.0013423229031412909,0.018521749753165784,0
AOS,2017-07-26,pre_2020,0.53,0.53,0.0,-0.017458015153656414,-0.0008892477795414688,-0.016568767374114945,0
AOS,2017-10-25,pre_2020,0.53,0.54,0.018867924528301903,-0.036492842543148885,-0.003663708281526401,-0.032829134261622483,0
AOS,2018-01-30,pre_2020,0.56,0.6,0.07142857142857129,0.002101090394151628,-0.009765327479611341,0.011866417873762969,0
AOS,2018-04-25,pre_2020,0.58,0.6,0.03448275862068969,0.008694560294695952,0.012662718356666103,-0.003968158061970151,0
AOS,2018-07-25,pre_2020,0.62,0.66,0.06451612903225812,-0.00285178509279993,0.0061433854812824595,-0.00899517057408239,0
AOS,2018-10-30,pre_2020,0.63,0.61,-0.03174603174603177,0.08250134188803937,0.02565736934702545,0.05684397254101392,0
AOS,2019-01-29,pre_2020,0.71,0.74,0.042253521126760604,-0.0037190079259650233,0.014482680349636068,-0.01820168827560109,0
AOS,2019-04-30,pre_2020,0.57,0.53,-0.0701754385964911,-0.059308415184703867,-0.007010019266486589,-0.05229839591821728,0
AOS,2019-07-30,pre_2020,0.63,0.61,-0.03174603174603177,0.042431232388770335,-0.013368473418844729,0.05579970580761506,0
AOS,2019-10-29,pre_2020,0.53,0.53,0.0,-0.01408356450550674,0.002769765067482055,-0.016853329572988796,0
AOS,2020-01-28,post_2020,0.59,0.56,-0.0508474576271185,0.011412957032914228,0.009644487966589343,0.0017684690663248848,1
AOS,2020-05-05,post_2020,0.35,0.32,-0.08571428571428563,0.03978074118571051,0.0023975123901600615,0.03738322879555045,1
AOS,2020-07-30,post_2020,0.42,0.45,0.0714285714285715,-0.09272518796683005,0.0043059887858376555,-0.0970311767526677,1
AOS,2020-10-29,post_2020,0.52,0.66,0.2692307692307693,0.009570306528833283,-0.00036718494238607846,0.009937491471219362,1
AOS,2021-01-28,post_2020,0.58,0.74,0.2758620689655173,0.02588333896389372,-0.011591584985600867,0.03747492394949459,1
AOS,2021-04-29,post_2020,0.57,0.6,0.052631578947368474,0.022178182761895426,-0.0002396873610358563,0.022417870122931283,1
AOS,2021-07-29,post_2020,0.65,0.73,0.12307692307692301,0.01721130277097571,-0.0007291884772148149,0.017940491248190527,1
AOS,2021-10-28,post_2020,0.68,0.82,0.20588235294117632,0.14225391249537567,0.011697513195767728,0.13055639929960794,1
AOS,2022-01-27,post_2020,0.77,0.87,0.12987012987012983,0.014182937947744945,0.019774826919467303,-0.0055918889717223585,1
AOS,2022-04-28,post_2020,0.75,0.77,0.02666666666666669,-0.06676251369556208,-0.012629588733267472,-0.054132924962294604,1
